YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WD50M,WS50M
2012,4,2,21,29.04,35.38,0,265.42,5.38
2012,4,2,22,27.73,47.5,0,251.81,5.28
2012,4,2,23,26.54,60.75,0,241.72,4.9
2012,4,3,0,25.59,70.88,0,233.11,4.43
2012,4,3,1,24.87,77.31,0,226.82,4
2012,4,3,2,24.33,81.38,0,218.36,3.78
2012,4,3,3,23.85,84.5,0,208.36,3.78
2012,4,3,4,23.41,88.38,0,202.09,4.03
2012,4,3,5,23.04,93.25,0,201.55,4.23
2012,4,3,6,24.11,90.62,0,200.73,4.19
2012,4,3,7,27.22,68.69,0,205.87,2.87
2012,4,3,8,31.2,43,0,247,1.18
2012,4,3,9,36.15,23.06,0,325.87,1.99
2012,4,3,10,38.83,17.81,0,324.46,2.49
2012,4,3,11,40.41,15.94,0,312.78,3.14
2012,4,3,12,41.27,15.06,0,302.4,3.95
2012,4,3,13,41.4,14.81,0,294.46,4.66
2012,4,3,14,40.86,15.12,0,288.94,5.01
2012,4,3,15,40.01,15.44,0,283.91,5.07
2012,4,3,16,38.71,16.38,0,277.34,5.02
2012,4,3,17,36.57,19.19,0,263.63,5.14
2012,4,3,18,32.58,28.69,0,245.51,6.16
2012,4,3,19,30.41,39.19,0,235.96,6.48
2012,4,3,20,28.65,49.62,0,231.93,6.18
2012,4,3,21,27.46,58.88,0,231.2,5.93
2012,4,3,22,26.65,66.56,0,232.04,5.73
2012,4,3,23,25.97,72.88,0,230.74,5.47
2012,4,4,0,25.29,79.12,0,226.41,5.16
2012,4,4,1,24.63,85.38,0,221.66,4.83
2012,4,4,2,24.05,91.06,0,217.59,4.58
2012,4,4,3,23.58,95.44,0,214.83,4.47
2012,4,4,4,23.23,98.12,0,213.58,4.38
2012,4,4,5,22.93,100,0,215.44,4.32
2012,4,4,6,24.15,93.5,0,221.13,4.01
2012,4,4,7,27.3,69.88,0,245.87,2.64
2012,4,4,8,31.14,44.56,0,291.32,2.26
2012,4,4,9,35.66,25.31,0,324.7,2.85
2012,4,4,10,38.9,17.5,0,323.52,3.02
2012,4,4,11,40.64,14.69,0,307.98,3.39
2012,4,4,12,41.53,13.38,0,295.16,4.28
2012,4,4,13,41.58,13,0,287.18,5.21
2012,4,4,14,41.07,13.19,0,282.09,5.74
2012,4,4,15,40.18,13.69,0,276.47,5.9
2012,4,4,16,38.82,15.06,0,269.4,5.95
2012,4,4,17,36.51,18.56,0,257.83,6.15
2012,4,4,18,32.23,30.5,0,240.05,6.81
2012,4,4,19,29.63,44.12,0,228.86,6.89
2012,4,4,20,28.15,54.69,0,222.89,6.76
2012,4,4,21,27.16,64.38,0,221.87,6.78
2012,4,4,22,26.45,72.69,0,223.06,6.68
2012,4,4,23,25.84,79.75,0,222.58,6.41
2012,4,5,0,25.23,86.62,0,219.52,5.9
2012,4,5,1,24.68,93.25,0,215.24,5.44
2012,4,5,2,24.33,97.38,0,210.67,5.22
2012,4,5,3,24.06,100,0,205.35,5.11
2012,4,5,4,23.83,100,0,200.06,5.15
2012,4,5,5,23.61,100,0,195.66,5.3
2012,4,5,6,25.07,95,0,196.99,5.19
2012,4,5,7,28.37,68.56,0,219.32,3.18
2012,4,5,8,32.46,38.75,0,284.35,2.46
2012,4,5,9,36.04,24.31,0,303.91,2.84
2012,4,5,10,38.32,19.38,0,295.51,3.05
2012,4,5,11,39.8,17.19,0,283.59,3.66
2012,4,5,12,40.56,16.12,0,275.49,4.41
2012,4,5,13,40.65,15.75,0,270,5.16
2012,4,5,14,40.14,15.69,0,266.45,5.81
2012,4,5,15,39.12,16.06,0,262.55,6.21
2012,4,5,16,37.54,17.5,0,256.94,6.33
2012,4,5,17,35.24,21.06,0,247.95,6.43
2012,4,5,18,31.49,32.31,0,236.09,6.72
2012,4,5,19,29.15,45.31,0,226.39,6.81
2012,4,5,20,27.73,56.06,0,218.95,6.76
2012,4,5,21,26.8,65.12,0,214.49,6.82
2012,4,5,22,26.09,72.75,0,211.63,6.88
2012,4,5,23,25.48,79.06,0,208.01,6.79
2012,4,6,0,24.86,84.81,0,204.11,6.52
2012,4,6,1,24.22,90,0,202.29,6.18
2012,4,6,2,23.67,94.06,0,204.7,5.89
2012,4,6,3,23.24,96.81,0,208.28,5.72
2012,4,6,4,22.82,99.25,0,208.03,5.45
2012,4,6,5,22.42,100,0,203.32,5.25
2012,4,6,6,23.8,92.31,0,198.18,5.06
2012,4,6,7,27.3,64.56,0,215.87,3.48
2012,4,6,8,31.81,33.94,0,266.78,3.34
2012,4,6,9,35.18,21.88,0,278.16,3.74
2012,4,6,10,37.31,17.81,0,274.99,3.86
2012,4,6,11,38.7,15.88,0,266.27,3.96
2012,4,6,12,39.48,15,0,258.93,4.43
2012,4,6,13,39.6,15,0,256.99,5.1
2012,4,6,14,39.18,15.5,0,256.31,5.58
2012,4,6,15,38.25,16.44,0,254.21,5.77
2012,4,6,16,36.8,18.31,0,249.39,5.86
2012,4,6,17,34.54,22.62,0,241.91,6.19
2012,4,6,18,30.87,34.88,0,234.37,6.79
2012,4,6,19,28.55,48.75,0,227.97,6.83
2012,4,6,20,27.05,60.44,0,222.67,6.52
2012,4,6,21,26.05,69.62,0,217.68,6.29
2012,4,6,22,25.34,76.69,0,211.24,6.18
2012,4,6,23,24.81,82.25,0,205.05,6.2
2012,4,7,0,24.37,86.81,0,199.56,6.28
2012,4,7,1,23.98,90.5,0,195.26,6.29
2012,4,7,2,23.59,93.69,0,193.58,6.12
2012,4,7,3,23.31,95.62,0,192.47,6.04
2012,4,7,4,23.12,96.69,0,191.92,6.09
2012,4,7,5,22.9,97.5,0,192.71,6.07
2012,4,7,6,23.93,91.06,0,195.84,5.61
2012,4,7,7,26.79,72.5,0,213.11,4.53
2012,4,7,8,30.08,53.31,0,227.57,3.94
2012,4,7,9,33.63,36.75,0,242.86,3.49
2012,4,7,10,36.22,28.38,0,251.79,3.13
2012,4,7,11,37.9,24.31,0,258.06,3.06
2012,4,7,12,38.86,22.19,0,261.32,3.31
2012,4,7,13,39.12,21.44,0,262.38,3.71
2012,4,7,14,38.79,21.62,0,261.29,4.13
2012,4,7,15,37.95,22.38,0,258.31,4.44
2012,4,7,16,36.55,24.12,0,253.96,4.78
2012,4,7,17,34.4,28.19,0,248.58,5.45
2012,4,7,18,31.18,38.56,0,242.17,6.49
2012,4,7,19,28.73,51.5,0,234.73,6.44
2012,4,7,20,27.19,61.38,0,228.11,6.01
2012,4,7,21,26.15,68.75,0,224.11,5.71
2012,4,7,22,25.35,75.25,0,221.91,5.53
2012,4,7,23,24.73,80.81,0,219,5.29
2012,4,8,0,24.15,85.88,0,212.04,4.98
2012,4,8,1,23.62,90.38,0,201.97,4.84
2012,4,8,2,23.17,94.12,0,194.85,4.94
2012,4,8,3,22.81,96.75,0,192.37,5.07
2012,4,8,4,22.53,98.69,0,190.93,5.15
2012,4,8,5,22.25,100,0,187.4,5.1
2012,4,8,6,23.61,91.5,0,184.84,4.63
2012,4,8,7,26.66,72.56,0,203.09,2.71
2012,4,8,8,30.2,51.81,0,242.68,1.33
2012,4,8,9,34.23,32.69,0,324.63,0.96
2012,4,8,10,38.49,20.19,0,352.43,1.36
2012,4,8,11,40.41,17.25,0,316.62,1.56
2012,4,8,12,41.41,16.06,0,291.18,2.42
2012,4,8,13,41.59,15.88,0,281.31,3.51
2012,4,8,14,41.07,16.38,0,278.67,4.46
2012,4,8,15,40.08,17.06,0,278.77,5.07
2012,4,8,16,38.76,17.94,0,278.49,5.45
2012,4,8,17,36.73,20.12,0,273.79,5.68
2012,4,8,18,32.76,28.75,0,259.89,6.41
2012,4,8,19,30.44,39.12,0,249.8,6.43
2012,4,8,20,28.65,50,0,242.44,5.84
2012,4,8,21,27.15,60.88,0,237.78,5.42
2012,4,8,22,26.06,70.5,0,236.43,5.16
2012,4,8,23,25.23,78.38,0,236.01,4.89
2012,4,9,0,24.55,84.88,0,231.48,4.5
2012,4,9,1,24.01,89.62,0,222.21,4.08
2012,4,9,2,23.51,93.25,0,214.36,3.89
2012,4,9,3,23.16,94.94,0,210.65,3.88
2012,4,9,4,22.84,96.19,0,208.32,3.89
2012,4,9,5,22.5,98,0,207.13,3.89
2012,4,9,6,23.83,90.44,0,207.98,3.68
2012,4,9,7,27.03,66.31,0,230.19,2.38
2012,4,9,8,31.01,40,0,286.53,2.31
2012,4,9,9,35.44,21.56,0,307.19,3.33
2012,4,9,10,38.05,16.12,0,304.48,3.45
2012,4,9,11,39.66,13.94,0,294.95,3.72
2012,4,9,12,40.73,12.81,0,285.09,4.23
2012,4,9,13,41.08,12.62,0,278.08,4.73
2012,4,9,14,40.79,12.88,0,274.48,5
2012,4,9,15,39.9,13.5,0,271.77,5.06
2012,4,9,16,38.5,14.75,0,267.41,5.02
2012,4,9,17,36.33,17.94,0,257.27,5.07
2012,4,9,18,32.3,28.5,0,242.53,5.78
2012,4,9,19,29.96,40.56,0,232.9,5.95
2012,4,9,20,28.54,50.38,0,225.83,5.7
2012,4,9,21,27.58,59.25,0,221.03,5.51
2012,4,9,22,26.83,67.69,0,219.42,5.4
2012,4,9,23,26.15,75.31,0,218.72,5.41
2012,4,10,0,25.46,82.31,0,214.98,5.49
2012,4,10,1,24.94,88.12,0,207.89,5.58
2012,4,10,2,24.52,92.81,0,203.11,5.57
2012,4,10,3,24.18,95.69,0,199.27,5.59
2012,4,10,4,23.89,97.44,0,196.86,5.66
2012,4,10,5,23.67,98.25,0,195.77,5.63
2012,4,10,6,24.83,91.19,0,196.37,5.07
2012,4,10,7,27.78,67.94,0,222.09,2.72
2012,4,10,8,31.11,47,0,271.62,1.93
2012,4,10,9,35.24,28.62,0,303.09,2.7
2012,4,10,10,38.26,20.44,0,303.84,3.23
2012,4,10,11,40.04,16.88,0,296.72,3.77
2012,4,10,12,40.95,15.25,0,288.89,4.37
2012,4,10,13,41.12,14.75,0,281.89,4.97
2012,4,10,14,40.83,14.62,0,277.84,5.44
2012,4,10,15,39.94,14.94,0,274.22,5.63
2012,4,10,16,38.49,16,0,268.39,5.56
2012,4,10,17,36.24,19.06,0,256.35,5.69
2012,4,10,18,32.2,29.62,0,239.51,6.59
2012,4,10,19,29.63,42.88,0,228.55,6.95
2012,4,10,20,27.98,54.94,0,220.49,6.75
2012,4,10,21,26.9,65.81,0,216.8,6.51
2012,4,10,22,26.14,75.31,0,216.28,6.19
2012,4,10,23,25.62,82.31,0,216,5.86
2012,4,11,0,25.23,87.56,0,215.38,5.29
2012,4,11,1,24.93,91.44,0,213.33,4.48
2012,4,11,2,24.69,93.56,0,210.98,3.81
2012,4,11,3,24.4,95.44,0,208.81,3.74
2012,4,11,4,23.87,98.81,0,205.78,3.83
2012,4,11,5,23.4,100,0,198.76,3.94
2012,4,11,6,24.76,93.19,0,191.98,4.07
2012,4,11,7,28.06,65.38,0,214.55,2.31
2012,4,11,8,32.04,38.75,0,280.52,2.57
2012,4,11,9,35.69,22.94,0,293.33,3.96
2012,4,11,10,38.01,17.38,0,288.77,4.69
2012,4,11,11,39.44,14.75,0,285.28,5.48
2012,4,11,12,40.01,13.75,0,283.41,5.76
2012,4,11,13,39.73,13.88,0,281.14,5.66
2012,4,11,14,39.31,14.44,0,276.03,5.66
2012,4,11,15,39.08,14.94,0,268.52,5.76
2012,4,11,16,37.79,16.94,0,258.17,5.95
2012,4,11,17,35.3,22.06,0,243.37,6.59
2012,4,11,18,31.4,36,0,230.22,7.47
2012,4,11,19,28.97,51.31,0,223.22,7.63
2012,4,11,20,28.01,60.31,0,220.39,7.22
2012,4,11,21,27.39,66.81,0,220.09,6.51
2012,4,11,22,26.64,72.81,0,217.8,5.95
2012,4,11,23,26.05,78.19,0,212.83,5.63
2012,4,12,0,25.76,81.25,0,210.02,5.45
2012,4,12,1,25.27,84.5,0,209.59,5.36
2012,4,12,2,24.73,88.19,0,208.37,5.21
2012,4,12,3,24.22,91.62,0,205.35,4.96
2012,4,12,4,23.75,94.56,0,202.7,4.72
2012,4,12,5,23.28,97.31,0,202.16,4.6
2012,4,12,6,24.44,90.62,0,206.13,4.15
2012,4,12,7,27.26,70.69,0,236.76,3.33
2012,4,12,8,31.03,43.69,0,270.87,3.62
2012,4,12,9,34.68,25.06,0,282.42,4.18
2012,4,12,10,36.9,18.75,0,279.22,4.58
2012,4,12,11,38.38,15.88,0,272.19,5.11
2012,4,12,12,39.15,14.69,0,265.13,5.79
2012,4,12,13,39.23,14.62,0,259.27,6.5
2012,4,12,14,38.62,15.69,0,254.27,7.17
2012,4,12,15,37.53,17.44,0,249.53,7.71
2012,4,12,16,35.83,20.38,0,243.71,8.13
2012,4,12,17,33.38,26.31,0,237.06,8.56
2012,4,12,18,30.36,39.25,0,229.85,8.3
2012,4,12,19,28.48,53.31,0,221.82,7.78
2012,4,12,20,27.48,63.06,0,215.92,7.63
2012,4,12,21,26.8,70.56,0,211.92,7.37
2012,4,12,22,26.19,76.56,0,209.14,7.08
2012,4,12,23,25.61,81.19,0,207.15,6.8
2012,4,13,0,25.02,85.56,0,205.79,6.45
2012,4,13,1,24.45,89.62,0,206.76,6.25
2012,4,13,2,23.93,93,0,205.72,6.14
2012,4,13,3,23.46,95.38,0,202.85,6.04
2012,4,13,4,23.04,97.31,0,199.1,5.92
2012,4,13,5,22.7,98.75,0,195.73,5.91
2012,4,13,6,23.94,90.94,0,196.48,5.56
2012,4,13,7,26.73,70.56,0,208.14,4.84
2012,4,13,8,30.46,42.81,0,219.12,3.99
2012,4,13,9,33.44,30.75,0,225.39,3.25
2012,4,13,10,35.65,25.06,0,233.62,2.73
2012,4,13,11,37.17,22.19,0,246.1,2.85
2012,4,13,12,37.78,21.38,0,251.93,3.53
2012,4,13,13,37.62,21.62,0,252.21,4.19
2012,4,13,14,37.3,22,0,250.93,4.71
2012,4,13,15,36.76,22.56,0,252.22,5.22
2012,4,13,16,35.53,24.38,0,253.99,5.67
2012,4,13,17,33.45,28.5,0,252.57,5.92
2012,4,13,18,30.57,38.06,0,247.36,6.17
2012,4,13,19,28.83,49.44,0,239.96,6.06
2012,4,13,20,27.68,58.94,0,232.92,6.05
2012,4,13,21,26.87,65.69,0,228.25,5.75
2012,4,13,22,26.21,71.94,0,227.26,5.46
2012,4,13,23,25.52,78.38,0,223.48,5.22
2012,4,14,0,24.97,83.5,0,216.1,5.11
2012,4,14,1,24.53,87.25,0,206.33,5.04
2012,4,14,2,24.15,90,0,198.24,4.99
2012,4,14,3,23.78,92.5,0,193.97,4.95
2012,4,14,4,23.41,94.81,0,190.97,4.97
2012,4,14,5,23.08,96.25,0,186.52,5.09
2012,4,14,6,24.39,87.44,0,184.05,4.75
2012,4,14,7,27.02,67.81,0,196.72,3.39
2012,4,14,8,30.94,41.94,0,232.88,2.18
2012,4,14,9,34.75,27.56,0,279.46,2.04
2012,4,14,10,36.99,23.25,0,299.04,2.91
2012,4,14,11,38.21,21.44,0,301.93,3.74
2012,4,14,12,38.84,20.56,0,299.96,4.3
2012,4,14,13,39.12,19.94,0,297.45,4.76
2012,4,14,14,38.86,19.81,0,294.32,4.91
2012,4,14,15,38.32,19.62,0,292.22,4.75
2012,4,14,16,37.35,20.19,0,290.02,4.63
2012,4,14,17,35.69,22.25,0,285.48,4.6
2012,4,14,18,32.21,29.81,0,271.68,5.06
2012,4,14,19,30.15,37.81,0,261.49,5.33
2012,4,14,20,29.01,44.38,0,256.33,5.03
2012,4,14,21,28.07,51.19,0,256.25,4.54
2012,4,14,22,27.18,57.5,0,262.79,3.86
2012,4,14,23,26.46,62,0,279.27,3.06
2012,4,15,0,26.03,63.81,0,304.96,2.25
2012,4,15,1,25.8,63.75,0,337.3,2.02
2012,4,15,2,25.3,64.31,0,4.18,2.25
2012,4,15,3,24.99,64.06,0,26.71,2.69
2012,4,15,4,24.8,63.38,0,37.72,2.96
2012,4,15,5,24.45,63.31,0,41.43,2.93
2012,4,15,6,25.98,56.12,0,42.97,2.81
2012,4,15,7,28.71,45.31,0,15.15,3.41
2012,4,15,8,32.27,35.19,0,6.48,5.06
2012,4,15,9,35.15,28.81,0,4.93,4.82
2012,4,15,10,37.53,23.69,0,354.94,4.16
2012,4,15,11,38.8,20.62,0,338.64,3.93
2012,4,15,12,39.61,18.88,0,322.6,4.59
2012,4,15,13,40.25,17.75,0,315.54,5.23
2012,4,15,14,40.13,17.44,0,309.6,5.05
2012,4,15,15,39.35,17.69,0,300.25,4.95
2012,4,15,16,38.31,18.44,0,293.13,4.89
2012,4,15,17,36.69,20.5,0,287.78,4.76
2012,4,15,18,32.86,27.19,0,276.96,4.64
2012,4,15,19,30.87,32.94,0,264.8,4.48
2012,4,15,20,29.73,37.75,0,251.19,4.53
2012,4,15,21,28.93,43.38,0,240.88,4.95
2012,4,15,22,28.21,50.25,0,235.99,5.01
2012,4,15,23,27.44,57.31,0,236.98,4.79
2012,4,16,0,26.8,62.19,0,246.48,4.54
2012,4,16,1,26.3,63.81,0,262.37,3.89
2012,4,16,2,25.9,63.62,0,288.86,2.97
2012,4,16,3,25.63,61.75,0,325.08,3.03
2012,4,16,4,25.26,60.06,0,351.55,3.72
2012,4,16,5,24.8,58.75,0,8.21,4.22
2012,4,16,6,26.29,50.62,0,19.27,4.26
2012,4,16,7,29.53,37.38,0,22.18,3.93
2012,4,16,8,34.05,24.62,0,9.9,4.23
2012,4,16,9,38.04,17.81,0,352.71,4.37
2012,4,16,10,39.84,15.81,0,338.8,4.3
2012,4,16,11,40.86,14.88,0,325.44,4.54
2012,4,16,12,41.43,14.25,0,313.66,4.96
2012,4,16,13,41.55,14.06,0,304.4,5.43
2012,4,16,14,40.78,14.5,0,296.88,5.65
2012,4,16,15,39.26,15.62,0,290.07,5.71
2012,4,16,16,37.8,17.19,0,285.91,5.67
2012,4,16,17,36.31,19.38,0,278.62,5.26
2012,4,16,18,33.4,25.44,0,259.06,5.51
2012,4,16,19,31.82,33.19,0,243.5,6.18
2012,4,16,20,30.16,44,0,233.63,6.26
2012,4,16,21,28.83,54.69,0,230.03,6.18
2012,4,16,22,28.1,61.81,0,230.34,5.81
2012,4,16,23,27.81,65.5,0,232.33,5.06
2012,4,17,0,27.59,67.38,0,238.79,4.4
2012,4,17,1,27.06,69.25,0,246.07,3.95
2012,4,17,2,26.62,68.62,0,256.91,3.45
2012,4,17,3,26.2,66.88,0,271.44,2.8
2012,4,17,4,26.2,64.12,0,285.35,2.07
2012,4,17,5,26.2,62.38,0,302.21,1.42
2012,4,17,6,26.8,59.44,0,325.23,1.15
2012,4,17,7,29.23,44.25,0,340.02,3.38
2012,4,17,8,32.47,30.5,0,342.65,4.95
2012,4,17,9,34.91,24,0,339.91,4.8
2012,4,17,10,36.76,20.31,0,330.28,4.44
2012,4,17,11,38.79,17.31,0,316.09,4.37
2012,4,17,12,39.98,15.62,0,303.3,4.5
2012,4,17,13,40.38,15,0,293.14,4.67
2012,4,17,14,40.02,15.19,0,288.69,4.97
2012,4,17,15,38.91,16.19,0,288.07,5.42
2012,4,17,16,37.61,17.75,0,286.79,5.68
2012,4,17,17,35.83,20.56,0,279.99,5.94
2012,4,17,18,32.93,28,0,264.13,6.04
2012,4,17,19,30.8,38.5,0,245.12,6.17
2012,4,17,20,29.23,49.94,0,230.49,6
2012,4,17,21,27.97,60.88,0,220.95,6.1
2012,4,17,22,27.17,68.94,0,216.19,6.42
2012,4,17,23,26.46,75.25,0,217.24,6.71
2012,4,18,0,25.96,79.44,0,219.91,6.66
2012,4,18,1,25.55,82.69,0,225.9,6.35
2012,4,18,2,25.08,85.81,0,231.84,5.7
2012,4,18,3,24.73,87.56,0,237.34,4.94
2012,4,18,4,24.57,87.56,0,243.06,4.24
2012,4,18,5,24.44,87.06,0,251.32,3.44
2012,4,18,6,25.86,77.88,0,270.93,2.88
2012,4,18,7,29.05,53.75,0,319.72,4.57
2012,4,18,8,32.36,37.94,0,336.08,5.14
2012,4,18,9,35.08,30.12,0,336.65,4.36
2012,4,18,10,37.24,25.5,0,326.53,3.9
2012,4,18,11,38.73,22.75,0,313.32,3.96
2012,4,18,12,39.64,20.94,0,299.21,4.16
2012,4,18,13,39.86,20.38,0,286.32,4.56
2012,4,18,14,38.74,21.56,0,278.61,5.06
2012,4,18,15,37.66,23.12,0,272.56,5.6
2012,4,18,16,36.74,24.62,0,266.43,6.03
2012,4,18,17,34.99,27.81,0,259.85,6.34
2012,4,18,18,32.22,35.94,0,249.71,6.42
2012,4,18,19,29.99,47,0,239.56,6.04
2012,4,18,20,28.76,55.12,0,231.27,5.62
2012,4,18,21,28.03,61.56,0,224.05,5.32
2012,4,18,22,27.55,66.69,0,218.2,4.85
2012,4,18,23,27.16,71.25,0,213.41,4.37
2012,4,19,0,26.85,75.5,0,209.74,3.84
2012,4,19,1,26.57,79.44,0,210.47,3.39
2012,4,19,2,26.34,82.56,0,217.53,2.98
2012,4,19,3,26.08,85,0,227.17,2.62
2012,4,19,4,25.76,86.88,0,237.22,2.19
2012,4,19,5,25.51,87.19,0,248.74,1.7
2012,4,19,6,26.17,82.44,0,272.08,1.08
2012,4,19,7,27.9,65.75,0,348.39,2.02
2012,4,19,8,30.41,44.62,0,6.91,3.83
2012,4,19,9,32.44,34,0,14.17,3.92
2012,4,19,10,34.12,28.62,0,16.83,3.62
2012,4,19,11,35.62,25.44,0,17.89,3.38
2012,4,19,12,36.63,23.56,0,17.34,3.22
2012,4,19,13,36.95,22.5,0,17.24,2.85
2012,4,19,14,37.05,21.69,0,17.9,2.36
2012,4,19,15,37.01,21.38,0,7.99,1.85
2012,4,19,16,36.54,21.94,0,345.17,1.5
2012,4,19,17,35.27,24.31,0,303.69,1.89
2012,4,19,18,32.62,30.69,0,279.51,3.31
2012,4,19,19,31.36,35.75,0,271.35,3.99
2012,4,19,20,30.48,40.38,0,265.04,4.16
2012,4,19,21,29.73,45.56,0,261.19,4.18
2012,4,19,22,29.04,51.44,0,256.42,4.06
2012,4,19,23,28.34,58.5,0,247.56,3.93
2012,4,20,0,27.63,66.56,0,240.21,3.73
2012,4,20,1,27.23,71.56,0,236.56,2.98
2012,4,20,2,26.97,72.06,0.01,241.34,1.43
2012,4,20,3,26.76,68.81,0.01,0.44,1.02
2012,4,20,4,26.5,64.94,0.02,13.8,3.27
2012,4,20,5,26.13,62.31,0.02,6.22,5.19
2012,4,20,6,26.48,58,0.02,358.08,6.31
2012,4,20,7,28.2,48.44,0.02,357.87,6.95
2012,4,20,8,30.61,39.25,0.01,5.37,6.68
2012,4,20,9,32.9,33.38,0.01,8.61,5.89
2012,4,20,10,34.95,29.06,0.01,8.19,4.93
2012,4,20,11,36.65,25.94,0.01,8.32,3.73
2012,4,20,12,37.99,23.75,0.01,4.52,2.48
2012,4,20,13,38.6,23,0.01,339.94,1.57
2012,4,20,14,38.31,23.88,0.01,305.06,1.73
2012,4,20,15,37.38,25.75,0,286.89,2.2
2012,4,20,16,36.22,28.06,0,276.18,2.4
2012,4,20,17,35.02,30.5,0.01,273.08,2.03
2012,4,20,18,33.49,34.12,0.01,280.39,1.34
2012,4,20,19,32.78,36.44,0.03,329.04,0.77
2012,4,20,20,32.41,37.69,0.02,29.32,1.16
2012,4,20,21,31.85,39.38,0.02,49.91,1.61
2012,4,20,22,31.32,40.75,0.01,55.03,1.74
2012,4,20,23,30.9,41.38,0,49.62,1.51
2012,4,21,0,30.34,42.44,0,24.9,1.21
2012,4,21,1,29.55,44.44,0,348.75,1.56
2012,4,21,2,28.62,46.88,0,339.28,2.3
2012,4,21,3,27.83,49.06,0,342.26,2.85
2012,4,21,4,27.04,51.12,0,348.92,3.38
2012,4,21,5,26.2,53.69,0,354.11,3.96
2012,4,21,6,27.25,50.19,0,358.95,4.27
2012,4,21,7,30.27,38.12,0,7.01,4.93
2012,4,21,8,33.76,29.12,0.02,15.47,4.77
2012,4,21,9,36.46,24.31,0.02,12.79,4.09
2012,4,21,10,38.46,21.56,0,0.37,3.66
2012,4,21,11,39.92,19.88,0,343.6,3.76
2012,4,21,12,40.77,19.12,0,329,4.34
2012,4,21,13,40.92,19.31,0,319.21,5.19
2012,4,21,14,40.38,20.31,0,313.63,6
2012,4,21,15,39.49,21.56,0,309.81,6.41
2012,4,21,16,38.27,23.06,0,305.92,6.41
2012,4,21,17,36.65,25.31,0,300.58,6.14
2012,4,21,18,34.05,29.94,0,285.73,5.76
2012,4,21,19,31.98,35.56,0,266.09,5.61
2012,4,21,20,30.69,41.25,0,252.45,5.78
2012,4,21,21,29.54,47.88,0,249.39,5.93
2012,4,21,22,28.69,52.88,0,258.16,5.94
2012,4,21,23,28.08,55.25,0,274.43,5.76
2012,4,22,0,27.48,54.81,0,298.82,5.69
2012,4,22,1,27.14,52.44,0,317.84,6.47
2012,4,22,2,26.9,51.38,0,327.62,7.28
2012,4,22,3,26.41,54,0,332.16,7.55
2012,4,22,4,25.87,58.75,0,333.86,7.45
2012,4,22,5,25.4,63.25,0,336.1,7.29
2012,4,22,6,26.2,61.81,0,338.9,6.9
2012,4,22,7,28.51,51.88,0,342.73,6.79
2012,4,22,8,31.23,41.88,0,346.58,5.86
2012,4,22,9,33.8,34.31,0,344.55,4.6
2012,4,22,10,36.01,28.62,0,330.18,3.75
2012,4,22,11,37.66,24.69,0,308.51,3.66
2012,4,22,12,38.77,22.06,0,291.53,4.26
2012,4,22,13,39.21,20.5,0,283.15,5.12
2012,4,22,14,39.07,19.5,0,278.25,5.99
2012,4,22,15,38.31,19.06,0,274.25,6.64
2012,4,22,16,37.07,19.06,0,270.65,6.9
2012,4,22,17,35.2,20.5,0,266.68,6.75
